City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed
Beijing,China,2023-10-26,39.98,47.38,84.35,44.59,4.92,138.44,15.74,83.78,12.57
Beijing,China,2023-06-12,109.42,144.32,88.74,36.56,2.02,188.95,3.99,72.9,2.0
Beijing,China,2023-05-25,50.25,92.07,40.15,15.55,2.74,192.83,24.24,28.39,4.15
Beijing,China,2023-12-17,104.18,150.19,44.32,12.11,4.76,162.48,13.06,92.3,18.97
Beijing,China,2023-10-09,18.23,85.36,59.85,46.99,8.92,121.09,3.44,40.15,18.89
Beijing,China,2023-07-21,105.15,30.89,27.79,9.66,7.34,123.33,-0.0,26.84,7.27
Beijing,China,2023-12-16,58.77,193.29,7.16,18.05,9.11,181.85,6.05,88.84,6.59
Beijing,China,2023-03-19,109.78,72.46,27.85,49.74,7.07,139.46,23.69,38.35,12.52
Beijing,China,2023-07-09,109.48,102.21,86.47,18.68,2.12,131.99,36.32,39.29,4.4
Beijing,China,2023-10-12,81.62,57.14,55.53,43.85,2.64,87.93,-0.94,52.72,17.88
Beijing,China,2023-04-20,52.84,171.99,71.28,48.14,8.77,95.86,29.24,32.37,1.74
Beijing,China,2023-10-18,9.03,29.68,20.78,19.39,3.34,138.19,13.18,29.0,6.15
Beijing,China,2023-02-16,119.84,143.8,22.69,31.04,9.26,131.1,4.09,79.86,6.26
Beijing,China,2023-05-16,40.29,70.98,9.69,22.12,5.09,78.38,12.46,23.71,3.32
Beijing,China,2023-02-22,148.41,95.89,77.67,5.78,6.04,127.57,12.31,24.82,8.98
Beijing,China,2023-06-28,15.21,61.69,25.52,7.1,9.32,97.07,8.9,66.31,14.03
Beijing,China,2023-10-07,142.61,131.62,29.35,19.91,1.54,133.4,8.26,99.44,2.27
Beijing,China,2023-07-24,26.2,85.27,46.19,46.17,7.66,79.97,25.51,60.6,14.18
Beijing,China,2023-11-28,141.15,124.72,21.95,14.04,4.18,56.75,24.82,43.54,17.23
Beijing,China,2023-06-06,23.05,157.67,88.58,36.34,9.51,115.68,1.85,23.59,19.52
Beijing,China,2023-10-20,73.31,76.06,9.75,23.55,9.94,78.31,14.06,92.0,16.91
Beijing,China,2023-07-11,18.75,182.51,76.2,6.05,7.6,97.94,19.76,82.59,17.84
Beijing,China,2023-06-08,108.22,134.02,12.5,36.53,6.16,171.31,-8.99,23.79,1.6
Beijing,China,2023-02-11,42.39,105.09,58.92,9.66,4.92,138.09,-2.53,66.55,5.59
Beijing,China,2023-01-24,15.79,93.13,63.05,33.9,7.96,79.97,4.78,80.0,0.93
Beijing,China,2023-07-28,36.56,121.87,13.84,40.62,0.11,45.85,31.33,89.17,12.89
Beijing,China,2023-05-13,110.25,47.46,93.6,14.26,0.88,153.94,21.32,32.48,3.47
Beijing,China,2023-12-21,48.45,161.38,62.97,9.47,2.72,171.0,22.62,18.29,12.56
Beijing,China,2023-03-22,135.16,60.8,76.0,7.28,1.13,169.8,-7.6,34.64,1.56
Beijing,China,2023-02-26,18.41,195.86,61.77,46.65,8.69,129.92,32.27,30.72,8.16
Beijing,China,2023-07-23,127.71,174.14,15.59,48.75,4.03,71.16,33.75,16.68,5.83
Beijing,China,2023-11-06,55.16,21.7,57.14,21.25,5.75,161.52,27.43,85.5,2.2
Beijing,China,2023-10-07,58.33,43.29,18.14,24.64,6.55,193.96,38.59,51.73,3.27
Beijing,China,2023-01-28,49.76,195.71,58.48,4.09,7.99,41.07,6.93,56.86,18.95
Beijing,China,2023-10-11,142.33,17.06,32.0,5.01,6.13,121.23,-9.19,49.9,3.73
Beijing,China,2023-05-01,26.95,122.09,78.37,13.61,1.47,32.19,25.64,20.78,6.35
Beijing,China,2023-09-18,84.67,10.36,57.61,35.13,0.81,38.08,-7.88,81.83,17.4
Beijing,China,2023-10-04,57.71,46.92,50.36,2.94,1.41,53.16,30.72,27.7,5.05
Beijing,China,2023-04-26,138.05,62.9,61.23,25.41,2.09,96.97,-0.62,44.0,16.29
Beijing,China,2023-09-18,87.72,181.64,28.6,36.42,6.39,153.39,19.58,58.31,10.16
Beijing,China,2023-07-22,41.67,154.08,77.31,35.39,2.59,61.29,-7.59,40.09,9.52
Beijing,China,2023-12-24,66.24,86.64,15.94,35.67,1.49,163.59,9.08,24.22,18.04
Beijing,China,2023-10-12,90.48,135.77,39.83,31.87,9.16,169.37,2.08,58.13,15.51
Beijing,China,2023-07-05,65.71,151.96,9.57,5.53,7.88,94.49,-3.46,45.61,7.97
Beijing,China,2023-02-11,127.59,192.12,61.78,19.29,4.88,31.0,38.05,10.74,19.9
Beijing,China,2023-03-02,93.46,66.86,46.1,7.51,9.6,145.11,29.73,11.91,19.79
Beijing,China,2023-12-17,114.82,79.88,63.94,13.77,3.57,50.6,9.92,45.63,5.78
Beijing,China,2023-04-13,107.89,147.39,34.88,22.93,5.38,181.43,20.45,73.9,16.16
Beijing,China,2023-08-07,99.05,56.18,32.34,41.67,5.08,180.93,26.9,77.23,7.68
Beijing,China,2023-09-06,53.92,32.8,60.58,23.35,2.73,14.89,20.16,35.82,5.88
Beijing,China,2023-07-24,148.93,24.99,66.91,33.12,6.43,165.74,18.82,36.85,14.28
Beijing,China,2023-05-14,45.73,67.03,90.09,9.56,9.17,137.02,27.31,78.88,16.0
Beijing,China,2023-03-03,79.17,31.19,34.12,11.02,0.48,58.45,0.99,15.84,3.47
Beijing,China,2023-07-23,142.25,139.76,31.77,8.85,5.24,102.59,19.16,85.36,4.66
Beijing,China,2023-10-08,8.45,86.47,88.71,40.17,9.32,178.2,5.47,78.29,2.6
Beijing,China,2023-09-10,63.61,66.18,87.96,8.04,4.25,54.08,23.6,19.04,13.39
Beijing,China,2023-03-11,8.57,131.59,82.0,38.74,5.25,164.59,35.65,59.59,3.02
Beijing,China,2023-12-14,54.63,47.88,8.61,34.67,2.07,131.04,12.19,32.19,12.63
Beijing,China,2023-08-17,139.06,52.58,13.5,46.85,7.56,163.25,9.3,65.22,6.23
Beijing,China,2023-02-26,137.84,198.0,56.31,24.37,7.26,35.73,-5.34,71.39,13.81
Beijing,China,2023-08-05,130.6,199.65,9.85,43.81,1.58,106.23,33.3,17.52,13.94
Beijing,China,2023-06-01,108.59,55.56,9.65,4.93,8.73,176.94,33.23,81.78,10.81
Beijing,China,2023-08-09,81.95,43.58,79.84,34.16,5.59,48.17,29.71,99.55,8.0
Beijing,China,2023-04-01,132.64,168.25,13.72,2.52,7.69,58.2,6.06,11.75,18.02
Beijing,China,2023-07-14,91.38,91.91,87.97,5.1,1.54,76.66,0.77,40.1,13.87
Beijing,China,2023-09-03,107.12,24.35,77.52,37.64,9.27,154.54,8.04,60.74,16.66
Beijing,China,2023-07-03,119.23,187.8,41.14,31.42,9.95,55.37,24.42,79.99,6.7
Beijing,China,2023-09-28,111.84,177.35,5.96,43.56,6.43,85.36,23.27,74.84,15.74
Beijing,China,2023-03-06,85.0,110.26,23.84,11.73,0.97,81.14,2.25,18.88,10.96
Beijing,China,2023-03-22,23.7,173.37,52.61,15.17,2.96,125.32,6.98,35.69,1.59
Beijing,China,2023-10-17,101.72,193.65,75.25,36.11,6.95,95.07,-7.46,39.8,16.54
Beijing,China,2023-01-13,74.26,162.1,76.71,22.36,6.5,10.04,16.71,86.93,18.52
Beijing,China,2023-08-15,94.69,23.73,20.59,39.48,2.66,155.29,14.27,29.23,18.91
Beijing,China,2023-12-13,46.69,77.28,42.01,49.06,4.52,186.29,24.46,68.4,15.35
Beijing,China,2023-06-09,19.93,138.85,80.33,12.74,4.92,154.25,-4.62,17.5,4.77
Beijing,China,2023-08-18,140.94,69.25,71.03,34.65,2.26,30.53,31.91,20.28,17.85
Beijing,China,2023-03-12,26.76,168.49,40.46,6.77,0.95,126.19,30.54,71.13,9.0
Beijing,China,2023-02-27,19.17,51.96,8.72,3.34,5.69,60.02,19.14,70.37,1.98
Beijing,China,2023-10-15,116.2,128.35,65.68,11.06,7.72,187.43,-2.21,25.59,5.54
Beijing,China,2023-10-11,106.36,149.97,58.21,14.24,1.82,47.65,2.33,33.9,13.99
Beijing,China,2023-07-02,108.53,179.31,81.54,45.55,6.12,192.88,-1.29,80.49,7.35
Beijing,China,2023-06-09,121.31,79.14,13.58,27.1,4.03,12.93,30.44,52.44,5.18
Beijing,China,2023-12-04,149.51,195.17,47.52,13.28,6.95,159.58,25.89,20.94,14.59
Beijing,China,2023-01-19,61.95,72.63,33.56,33.42,6.5,75.46,24.68,39.7,7.98
Beijing,China,2023-07-19,121.61,184.06,79.31,18.33,2.14,21.4,22.38,85.9,6.5
Beijing,China,2023-07-20,105.5,197.25,96.25,27.76,9.21,38.54,2.52,80.07,11.94
Beijing,China,2023-02-03,137.13,76.76,90.92,14.6,6.91,84.78,8.38,75.55,9.77
Beijing,China,2023-08-13,13.64,49.63,36.91,7.84,5.72,108.85,35.32,20.74,7.4
Beijing,China,2023-08-04,74.64,95.49,63.28,35.67,6.95,172.6,5.93,41.77,9.61
Beijing,China,2023-09-15,130.65,171.28,23.94,36.07,6.73,63.53,23.09,93.19,8.2
Beijing,China,2023-01-28,23.79,160.96,92.4,22.63,5.0,58.02,-3.43,63.71,7.52
Beijing,China,2023-04-25,18.3,17.77,28.21,6.92,2.64,74.2,25.4,29.17,5.38
Beijing,China,2023-10-10,52.27,133.42,84.82,10.12,4.78,83.41,12.85,40.63,12.57
Beijing,China,2023-09-06,94.21,147.26,42.13,41.86,6.84,61.64,-9.59,34.47,7.57
Beijing,China,2023-05-24,108.13,184.02,73.22,10.97,5.85,88.07,35.7,55.69,9.12
Beijing,China,2023-04-07,102.39,59.72,10.61,1.28,6.83,165.0,26.68,57.39,8.53
Beijing,China,2023-12-11,25.98,95.08,47.59,40.04,9.9,93.15,20.15,29.14,17.61
Beijing,China,2023-10-01,110.82,57.39,91.39,40.07,2.97,183.77,14.55,97.32,3.34
Beijing,China,2023-04-14,88.97,197.94,47.73,42.37,0.66,15.14,25.09,11.21,1.83
Beijing,China,2023-06-16,44.05,29.63,33.06,40.16,0.26,83.18,31.02,35.3,9.47
Beijing,China,2023-10-24,34.12,69.2,43.08,26.3,6.09,100.26,25.61,46.17,19.71
Beijing,China,2023-05-13,67.76,45.49,5.47,39.0,8.04,107.79,-8.67,10.22,18.04
Beijing,China,2023-10-22,114.7,15.55,91.39,9.81,5.09,24.52,17.53,67.26,4.81
Beijing,China,2023-12-17,112.0,114.13,60.26,8.23,3.72,32.83,-6.56,92.62,17.95
Beijing,China,2023-12-06,92.15,169.9,21.33,19.19,0.56,190.17,36.82,15.56,12.51
Beijing,China,2023-09-17,93.7,184.81,42.5,6.06,1.97,117.84,11.61,72.44,11.51
Beijing,China,2023-09-27,80.01,161.69,61.16,37.09,5.35,107.08,6.55,41.83,18.56
